Question,Option 1,Option 2,Option 3,Option 4,Answer,Hint,Know More,Link,YouTube,Image,Type,Concept/Subtopic,Worksheet No
Which mark ends a question?,?,.,!,",",?,Question Mark,,,,,MCQ,Punctuation,5
Which mark shows excitement?,!,?,.,",",!,Exclamation Mark,,,,,MCQ,Punctuation,5
Which mark separates items in a list?,",",.,?,!,",",Comma,,,,,MCQ,Punctuation,5
Which mark ends a statement?,.,?,!,",",.,Period,,,,,MCQ,Punctuation,5
Choose the correct sentence.,Where are you?,Where are you.,Where are you!,"Where are you,",Where are you?,Question,,,,,MCQ,Punctuation,5
Choose the correct sentence.,I love ice cream!,I love ice cream?,I love ice cream.,"I love ice cream,",I love ice cream!,Excitement,,,,,MCQ,Punctuation,5
Choose the correct sentence.,"I have a cat, a dog, and a fish.",I have a cat a dog and a fish.,I have a cat. a dog. and a fish.,I have a cat? a dog? and a fish?,"I have a cat, a dog, and a fish.",List,,,,,MCQ,Punctuation,5
What is missing: It____s raining.,',",",.,?,',Apostrophe (Contraction),,,,,MCQ,Punctuation,5
What is missing: That is Sarah____s book.,',",",.,?,',Apostrophe (Possession),,,,,MCQ,Punctuation,5
Which sentence is correct?,Mr. Smith is here.,Mr Smith is here,Mr Smith is here.,Mr. Smith is here,Mr. Smith is here.,Abbreviation and Period,,,,,MCQ,Punctuation,5
Where does the comma go? 'No I won't go.',After No,After I,After won't,After go,After No,Introductory word,,,,,MCQ,Punctuation,5
Which is correct?,"New York, USA",New York. USA,New York? USA,New York! USA,"New York, USA","City, Country",,,,,MCQ,Punctuation,5
Identify the punctuation: ;,Semicolon,Colon,Comma,Period,Semicolon,Definition,,,,,MCQ,Punctuation,5
Identify the punctuation: :,Colon,Semicolon,Comma,Period,Colon,Definition,,,,,MCQ,Punctuation,5
Choose the correctly punctuated sentence.,Stop! Look out!,Stop. Look out.,Stop? Look out?,"Stop, Look out,",Stop! Look out!,Warning,,,,,MCQ,Punctuation,5
